DB_SERVER        CUSTOMERID           INSTITUTIONID ORG_TIMEZONE                                                                                                                                                                                                                                              ORG_CODE                                       ORG_NAME
DWH_NA02_A_RO       9110          9111 Asia/Manila                                                                                                                                                                                                                                                     63UOSTP_INST                                       University of Santo Tomas
DWH_NA02_A_RO       9125          9126 Asia/Taipei                                                                                                                                                                                                                                                     886NHRI_INST                                       National Health Research Institutes
DWH_NA02_A_RO       9170          9171 Asia/Bangkok                                                                                                                                                                                                                                                    66NIDA_INST                                        National Institute of Development Administration
DWH_NA02_A_RO       9175          9176 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKIC_INST                                       Hong Kong Institute of Construction
DWH_NA02_A_RO       9195          9196 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKDC_INST                                       Hong Kong Design Centre
DWH_NA02_A_RO       9220          9221 Asia/Seoul                                                                                                                                                                                                                                                      82KUN_INST                                         Konkuk University
DWH_NA02_A_RO       9230          9231 Asia/Bangkok                                                                                                                                                                                                                                                    66MU_INST                                          Mahidol University
DWH_NA02_A_RO       9270          9271 Asia/Tokyo                                                                                                                                                                                                                                                      81UKITAK_INST                                      Kitakyushu Shiritsu Daigaku
DWH_NA02_A_RO       9400          9401 Asia/Manila                                                                                                                                                                                                                                                     63UPS_INST                                         University of the Philippines System
DWH_NA02_A_RO       9405          9406 Asia/Tokyo                                                                                                                                                                                                                                                      81KPU_INST                                         Kobe Pharmaceutical University
DWH_NA02_A_RO       9440          9441 Asia/Seoul                                                                                                                                                                                                                                                      82KST_AJOU                                         Ajou University
DWH_NA02_A_RO       9520          9521 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JUD_INST                                        Judiciary Libraries of Hong Kong
DWH_NA02_A_RO       9533          9534 Asia/Karachi                                                                                                                                                                                                                                                    92FCCF_INST                                        Forman Christian College (FCC)
DWH_NA02_A_RO       9537          9538 Asia/Karachi                                                                                                                                                                                                                                                    92LUMS_INST                                        Lahore University of Management Sciences
DWH_NA02_A_RO       9607          9608 Asia/Taipei                                                                                                                                                                                                                                                     886FCU_INST                                        Feng Chia University
DWH_NA02_A_RO       9623          9624 Asia/Bangkok                                                                                                                                                                                                                                                    66NLT_INST                                         National Library of Thailand [Institute]
DWH_NA03_A_RO        110           121 Australia/Brisbane                                                                                                                                                                                                                                              EXLDEV1_INST                                       The Asia-Pacific Alma Library
DWH_NA03_A_RO        300           301 Asia/Jerusalem                                                                                                                                                                                                                                                  QA_1_INST                                          QA - Provisioning
DWH_NA03_A_RO        480           481 Australia/Sydney                                                                                                                                                                                                                                                ANZ_DEMO_1                                         ANZ Demo
DWH_NA03_A_RO        500           501 US/Eastern                                                                                                                                                                                                                                                      TRAINING_NZ_CLEAN                                  Network
DWH_NA03_A_RO        500           502 US/Central                                                                                                                                                                                                                                                      TRAINING_MEMBER1_CLEAN                             Network - Member 1
DWH_NA03_A_RO        500           503 US/Central                                                                                                                                                                                                                                                      TRAINING_MEMBER2_CLEAN                             Network - Member 2
DWH_NA03_A_RO        510           521 US/Central                                                                                                                                                                                                                                                      TRAINING_1_INST                                    Alma Institution
DWH_NA03_A_RO        570           571 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_1_INST                                       Alma Trial 1
DWH_NA03_A_RO        572           573 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_2_INST                                       Alma Trial 2
DWH_NA03_A_RO        574           575 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_3_INST                                       Alma Trial 3
DWH_NA03_A_RO        580           581 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_6_INST                                       Alma Trial 6
DWH_NA03_A_RO        582           583 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_7_INST                                       Alma Trial 7
DWH_NA03_A_RO        584           585 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_8_INST                                       Alma Trial 8
DWH_NA03_A_RO        586           587 Australia/Sydney                                                                                                                                                                                                                                                TRIAL_9_INST                                       Alma Trial 9
DWH_NA03_A_RO        588           589 US/Eastern                                                                                                                                                                                                                                                      TRIAL_10_INST                                      Alma Trial 10
DWH_NA03_A_RO        750           751 US/Eastern                                                                                                                                                                                                                                                      TRIAL_ELECTRONIC                                   Alma Electronic Trial
DWH_NA03_A_RO        760           761 Asia/Singapore                                                                                                                                                                                                                                                  ALMASELECT_INST_1                                  Alma Select Demo 1
DWH_NA03_A_RO        760           762 Asia/Singapore                                                                                                                                                                                                                                                  ALMASELECT_INST_2                                  Alma Select Demo 2
DWH_NA03_A_RO        975           976 Asia/Singapore                                                                                                                                                                                                                                                  APAC_DEMO_ALMA_COLLEGE                             APAC DEMO - Alma College
DWH_NA03_A_RO       1740          1752 Australia/West                                                                                                                                                                                                                                                  61MONASH_MA                                        Monash University Malaysia
DWH_NA03_A_RO       1740          1753 Africa/Johannesburg                                                                                                                                                                                                                                             61MONASH_SA                                        Monash University South Africa
DWH_NA03_A_RO       2190          2191 Asia/Singapore                                                                                                                                                                                                                                                  65SIM_INST                                         Singapore Institute Of Management (Singapore)
DWH_NA03_A_RO       2350          2355 Australia/Sydney                                                                                                                                                                                                                                                61UNI_CAM                                          Campion College
DWH_NA03_A_RO       2350          2356 Australia/Sydney                                                                                                                                                                                                                                                61UNI_CIS                                          Catholic Institute of Sydney
DWH_NA03_A_RO       2350          2359 Australia/Sydney                                                                                                                                                                                                                                                61UNI_JMC                                          JMC Academy
DWH_NA03_A_RO       2350          2362 Australia/Sydney                                                                                                                                                                                                                                                61UNI_NPG                                          National Portrait Gallery
DWH_NA03_A_RO       2350          2364 Australia/Sydney                                                                                                                                                                                                                                                61UNI_NPL                                          NSW Police
DWH_NA03_A_RO       2350          2377 Australia/Sydney                                                                                                                                                                                                                                                61UNI_TOP                                          IMC
DWH_NA03_A_RO       2405          2406 Asia/Singapore                                                                                                                                                                                                                                                  65SUTD_INST                                        Singapore University of Technology and Design
DWH_NA03_A_RO       2590          2591 Asia/Seoul                                                                                                                                                                                                                                                      82SNU_INST                                         Seoul National University
DWH_NA03_A_RO       2595          2596 Asia/Seoul                                                                                                                                                                                                                                                      82UNIST_INST                                       Ulsan National Institute of Science and Technology
DWH_NA03_A_RO       2600          2601 Asia/Singapore                                                                                                                                                                                                                                                  65SMU_INST                                         Singapore Management University (SMU)
DWH_NA03_A_RO       3285          3286 Asia/Seoul                                                                                                                                                                                                                                                      82POSTECH_INST                                     POSTECH
DWH_NA03_A_RO       3405          3406 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_NETWORK                                   Joint University Librarians Advisory Committee (JULAC) - Network
DWH_NA03_A_RO       3405          3407 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_CUHK                                      The Chinese University of Hong Kong
DWH_NA03_A_RO       3405          3408 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_CUH                                       City University of Hong Kong
DWH_NA03_A_RO       3405          3409 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKBU                                      Hong Kong Baptist University
DWH_NA03_A_RO       3405          3410 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_EDUHK                                     Education University of Hong Kong
DWH_NA03_A_RO       3405          3411 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKPU                                      Hong Kong Polytechnic University
DWH_NA03_A_RO       3405          3412 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKUST                                     HKUST Library
DWH_NA03_A_RO       3405          3413 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_LUN                                       Lingnan University
DWH_NA03_A_RO       3405          3414 Asia/Hong_Kong                                                                                                                                                                                                                                                  852JULAC_HKU                                       The University of Hong Kong
DWH_NA03_A_RO       3470          3471 Australia/Queensland                                                                                                                                                                                                                                            61SCLQ_INST                                        Supreme Court Library Queensland
DWH_NA03_A_RO       3585          3586 Asia/Singapore                                                                                                                                                                                                                                                  63UAP_INST                                         University of Asia and the Pacific
DWH_NA03_A_RO       4030          4031 Asia/Tokyo                                                                                                                                                                                                                                                      81KEIO_INST                                        KEIO University
DWH_NA03_A_RO       4030          4032 Asia/Tokyo                                                                                                                                                                                                                                                      81SOKEI_WUNI                                       Waseda University
DWH_NA03_A_RO       4030          4033 Japan                                                                                                                                                                                                                                                           81SOKEI_NETWORK                                    SoKei Network
DWH_NA03_A_RO       4030          4034 Japan                                                                                                                                                                                                                                                           81SOKEI_KEIO                                       Keio University
DWH_NA03_A_RO       4055          4056 Asia/Singapore                                                                                                                                                                                                                                                  65SIT_INST                                         Singapore Institute of Technology
DWH_NA03_A_RO       4120          4121 Asia/Taipei                                                                                                                                                                                                                                                     886NKUST_INST                                      National Kaohsiung University of Science and Technology
DWH_NA03_A_RO       4325          4326 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKAPA_INST                                      The Hong Kong Academy for Performing Arts
DWH_NA03_A_RO       4680          4681 Asia/Hong_Kong                                                                                                                                                                                                                                                  852VTC_INST                                        Vocational Training Council
DWH_NA03_A_RO       4785          4786 Asia/Taipei                                                                                                                                                                                                                                                     886NTU_INST                                        ?????? National Taiwan University
DWH_NA03_A_RO       4925          4926 Asia/Singapore                                                                                                                                                                                                                                                  65SUSS_INST                                        Singapore University of Social Sciences
DWH_NA03_A_RO       5060          5061 Japan                                                                                                                                                                                                                                                           81NII_NETWORK                                      National Institute of Informatics - Network
DWH_NA03_A_RO       5060          5062 Japan                                                                                                                                                                                                                                                           81NII_INST1                                        National Institute of Informatics IZ1
DWH_NA03_A_RO       5060          5063 Japan                                                                                                                                                                                                                                                           81NII_INST2                                        National Institute of Informatics IZ2
DWH_NA03_A_RO       5060          5064 Japan                                                                                                                                                                                                                                                           81NII_INST3                                        National Institute of Informatics IZ3
DWH_NA03_A_RO       5075          5076 Asia/Macao                                                                                                                                                                                                                                                      853MUST_INST                                       Macau University of Science and Technology
DWH_NA03_A_RO       5145          5146 Asia/Singapore                                                                                                                                                                                                                                                  65NTU_INST                                         Nanyang Technological University
DWH_NA03_A_RO       5560          5562 Asia/Kuala_Lumpur                                                                                                                                                                                                                                               44NOTTS_UNMC                                       University of Nottingham - Malaysia
DWH_NA03_A_RO       5675          5676 Asia/Hong_Kong                                                                                                                                                                                                                                                  852WKCDA_INST                                      West Kowloon Cultural District Authority
DWH_NA03_A_RO       5695          5696 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKBTS_INST                                      Hong Kong Baptist Theological Seminary
DWH_NA03_A_RO       5720          5721 Asia/Taipei                                                                                                                                                                                                                                                     886NCCU_INST                                       National Chengchi University (??????)
DWH_NA03_A_RO       5910          5911 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_NETWORK                                     U12 Network
DWH_NA03_A_RO       5910          5912 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_TKU                                         TKU ????
DWH_NA03_A_RO       5910          5913 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_SCU                                         ???? / SCU
DWH_NA03_A_RO       5910          5914 Asia/Taipei                                                                                                                                                                                                                                                     886UCO_MCU                                         Ming Chuan University
DWH_NA03_A_RO       6200          6201 Japan                                                                                                                                                                                                                                                           81BU_INST                                          Bukkyo University
DWH_NA03_A_RO       6305          6306 Asia/Macau                                                                                                                                                                                                                                                      853UOM_INST                                        University of Macau
DWH_NA03_A_RO       6320          6321 Asia/Singapore                                                                                                                                                                                                                                                  65NIE_INST                                         National Institute of Education
DWH_NA03_A_RO       6350          6351 Asia/Manila                                                                                                                                                                                                                                                     63DLSUL_INST                                       De La Salle University
DWH_NA03_A_RO       6610          6611 Asia/Kuala_Lumpur                                                                                                                                                                                                                                               60BOM_INST                                         Bank Negara Malaysia
DWH_NA03_A_RO       6680          6681 Asia/Saigon                                                                                                                                                                                                                                                     84VINU_INST                                        VinUniversity
DWH_NA03_A_RO       6770          6771 Asia/Taipei                                                                                                                                                                                                                                                     886UST_NETWORK                                     University System of Taiwan (????????)
DWH_NA03_A_RO       6770          6772 Asia/Taipei                                                                                                                                                                                                                                                     886UST_NYCU                                        National Yang Ming Chiao Tung University(????????)
DWH_NA03_A_RO       6770          6773 Asia/Taipei                                                                                                                                                                                                                                                     886UST_NCU                                         National Central University (??????)
DWH_NA03_A_RO       6770          6774 Asia/Taipei                                                                                                                                                                                                                                                     886UST_NTHU                                        National Tsing Hua University(??????)
DWH_NA03_A_RO       6805          6806 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HA_INST                                         Hospital Authority (HA)
DWH_NA03_A_RO       6820          6821 Asia/Saigon                                                                                                                                                                                                                                                     84RVI_INST                                         RMIT University
DWH_NA03_A_RO       6975          6976 Asia/Hong_Kong                                                                                                                                                                                                                                                  852LEGCO_INST                                      Legislative Council of HKSAR
DWH_NA03_A_RO       7065          7066 Japan                                                                                                                                                                                                                                                           81NII_LIB                                          National Institute of Informatics
DWH_NA03_A_RO       7135          7136 Asia/Manila                                                                                                                                                                                                                                                     63MU_INST                                          Mapua University
DWH_NA03_A_RO       7170          7171 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_NETWORK                                      SG JPL Network
DWH_NA03_A_RO       7170          7172 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_TP                                           Temasek Polytechnic
DWH_NA03_A_RO       7170          7173 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_SP                                           Singapore Polytechnic
DWH_NA03_A_RO       7245          7246 Japan                                                                                                                                                                                                                                                           81NII_JUSTICE                                      National Institute of Informatics – Network
DWH_NA03_A_RO       7420          7421 Japan                                                                                                                                                                                                                                                           81UEC_INST                                         The University of Electro-Communications
DWH_NA03_A_RO       7530          7531 Japan                                                                                                                                                                                                                                                           81NII_NW                                           The E-resources Data Sharing Services
DWH_NA03_A_RO       7540          7541 Asia/Hong_Kong                                                                                                                                                                                                                                                  852SFU_INST                                        Saint Francis University
DWH_NA03_A_RO       7545          7546 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKSYU_INST                                      Hong Kong Shue Yan University
DWH_NA03_A_RO       7550          7551 Asia/Macau                                                                                                                                                                                                                                                      853CUM_INST                                        City University of Macau
DWH_NA03_A_RO       7590          7591 Asia/Seoul                                                                                                                                                                                                                                                      82ULSAN_INST                                       University of Ulsan
DWH_NA03_A_RO       7745          7746 Asia/Taipei                                                                                                                                                                                                                                                     886CCPL_INST                                       Chiang Chingkuo Presidential Library
DWH_NA03_A_RO       7970          7971 Asia/Singapore                                                                                                                                                                                                                                                  65ITE_INST                                         Institute of Technical Education ITE
DWH_NA03_A_RO       7975          7976 Asia/Taipei                                                                                                                                                                                                                                                     886NCHU_INST                                       National Chung Hsing University
DWH_NA03_A_RO       7975          7977 Asia/Taipei                                                                                                                                                                                                                                                     886NSYSU_INST                                      National Sun Yat-sen University
DWH_NA03_A_RO       7975          7978 Asia/Taipei                                                                                                                                                                                                                                                     886NCKU_INST                                       National Cheng Kung University
DWH_NA03_A_RO       7975          7979 Asia/Taipei                                                                                                                                                                                                                                                     886CCU_INST                                        National Chung Cheng University
DWH_NA03_A_RO       8060          8061 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKMU_INST                                       Hong Kong Metropolitan University
DWH_NA03_A_RO       8060          8062 Asia/Hong_Kong                                                                                                                                                                                                                                                  852TWC_INST                                        Tung Wah College
DWH_NA03_A_RO       8060          8063 Asia/Hong_Kong                                                                                                                                                                                                                                                  852CHCHE_INST                                      Hong Kong Chu Hai College
DWH_NA03_A_RO       8060          8064 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HSUHK_INST                                      The Hang Seng University of Hong Kong
DWH_NA03_A_RO       8080          8081 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_NYP                                          Nanyang Polytechnic
DWH_NA03_A_RO       8080          8082 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_NP                                           Ngee Ann Polytechnic
