State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
,United Kingdom,Europe/London,EMEA ANZ,University of East Anglia,University of East Anglia Library,USD
,United Kingdom,Europe/London,EMEA ANZ,Department for Energy Security and Net Zero,United Kingdom Department for Energy Security and Net Zero,USD
MO,United States,,NA,Kirkwood High School,Kirkwood High School,USD
STEIERMARK,Austria,Europe/Brussels,EMEA ANZ,Technische Universitat Graz,Graz University of Technology,USD
,United Kingdom,Europe/London,EMEA ANZ,Royal Holloway University of London,Royal Holloway University of London,USD
PA,United States,,NA,Kutztown Area High School,Kutztown Area High School,USD
,United Kingdom,Europe/London,EMEA ANZ,University Of Sunderland,University of Sunderland Saint Peter's Library,GBP
,United Kingdom,Europe/London,EMEA ANZ,SAE Institute - UK,SAE Institute - UK,USD
CA,United States,,NA,La Quinta High School,La Quinta High School,USD
,United Kingdom,Europe/London,EMEA ANZ,Royal College Of Art,Royal College of Art,USD
VA,United States,,NA,Lafayette High School,Lafayette High School,USD
,United Kingdom,Europe/London,EMEA ANZ,The British Academy,The British Academy,USD
NAPOLI,Italy,Europe/Rome,EMEA ANZ,Universita Federico II Di Napoli,Universita di Napoli Federico II Centro di Ateneo per le Biblioteche,USD
KY,United States,,NA,Appalachian College Association,Appalachian College Association William G Bowen Central Library of Appalachia,USD
NM,United States,,NA,Los Alamos County Library,LOS ALAMOS COUNTY LIBRARY SYSTEM,USD
,Malaysia,,APAC,Institute of Technology Petronas Sdn Bhd,University of Technology PETRONAS,USD
OH,United States,,NA,College Of Mt St Joseph,Mount Saint Joseph University Accounts Payable,USD
Uusimaa,Finland,Europe/Helsinki,EMEA ANZ,Metropolia University of Applied Sciences,Metropolia Ammattikorkeakoulu Kirjasto- ja tietopalvelut,EUR
Riyadh,Saudi Arabia,Asia/Riyadh,EMEA ANZ,Riyadh Military Hospital,Prince Sultan Military Medical City,USD
OH,United States,,NA,Fortis College,Fortis College,USD
Budapest,Hungary,Europe/Brussels,EMEA ANZ,Gedeon Richter Plc,Gedeon Richter Plc,USD
Telemark,Norway,Europe/Brussels,EMEA ANZ,University of South-Eastern Norway,Universitetet i Sorost-Norge - Campus Porsgrunn,USD
GELDERLAND,Netherlands,Europe/Amsterdam,EMEA ANZ,Max Planck Institute for Psycholinguistics,Max Planck Institut fur Psycholinguistik,USD
OH,United States,,NA,Lake Erie College,Lake Erie College James F Lincoln Library,USD
CO,United States,,NA,Nazarene Bible College,Nazarene Bible College Trimble Library,USD
LUZERN,Switzerland,Europe/Brussels,EMEA ANZ,Hochschule Luzern,Hochschule Luzern,USD
A Coruna,Spain,,EMEA ANZ,Universidad de La Coruna,University of A Coruna University Library,USD
CA,United States,,NA,Santiago Canyon College,Santiago Canyon College Library,USD
Madrid,Spain,,EMEA ANZ,Universidad CEU San Pablo,San Pablo CEU University,USD
MN,United States,,NA,Fairview Health Services,Fairview Health Services,USD
OK,United States,,NA,Rose State College,Rose State College,USD
Bavaria,Germany,Europe/Berlin,EMEA ANZ,Friedrich Alexander Universitat Erlangen Nuremberg,Friedrich Alexander University Erlangen Nuremberg,USD
WA,United States,,NA,Saint Martins University,Saint Martins University OGrady Library,USD
Nordrhein-Westfalen,Germany,Europe/Berlin,EMEA ANZ,Forschungszentrum Jülich GmbH,Forschungszentrum Julich,EUR
KA,India,Asia/Kolkata,APAC,Sahyadri College of Engineering and Management,Sahyadri College of Engineering and Management,USD
IL,United States,,NA,Indian Prairie Public Library,Indian Prairie Public Library,USD
Schleswig-Holstein,Germany,Europe/Berlin,EMEA ANZ,IPN - Leibniz Institut für die Pädagogik,Leibniz-Institut fur die Padagogik der Naturwissenschaften und Mathematik an der,USD
MN,United States,,NA,Regions Hospital & Medical Center,Regions Hospital,USD
BASEL STADT,Switzerland,Europe/Brussels,EMEA ANZ,Universitat Basel,Universitat Basel,USD
Gauteng,South Africa,Africa/Johannesburg,EMEA ANZ,National Research Foundation,National Research Foundation,USD
MA,United States,,NA,Boston University,Boston University,USD
WI,United States,,NA,Milwaukee Public Library,Milwaukee Public Library,USD
NOORD-HOLLAND,Netherlands,Europe/Amsterdam,EMEA ANZ,KIT Royal Tropical Institute,Koninklijk Instituut voor de Tropen,EUR
OK,United States,,NA,Oklahoma City School District,Oklahoma City School District,USD
AB,Canada,,NA,Ambrose University,Ambrose University College,USD
Baden-Wuerttemberg,Germany,Europe/Berlin,EMEA ANZ,Institut fuer Geschichte der Medizin,Institut fur Geschichte der Medizin,USD
UT,United States,,NA,St Louis Priory School,Sirsi Corporation - St Louis Priory School,USD
AB,Canada,,NA,Bow Valley College,Bow Valley College RGO Library and Learning Commons,USD
TX,United States,,NA,"Alcon Laboratories, Inc",Alcon Research Institute,USD
,Chile,,LATAM,Universidad Central de Chile,Central University of Chile,USD
Dalarna,Sweden,Europe/Brussels,EMEA ANZ,Swedish Transport Administration,Trafikverket,USD
Nara,Japan,Asia/Tokyo,APAC,Nara Prefecture General Medical Center,Nara Prefecture General Medical Center,USD
CA,United States,,NA,University of California Irvine,University of California Irvine Office of the President,USD
Okayama,Japan,Asia/Tokyo,APAC,Okayama University,Diss - Okayama Daigaku Rigakubu Chikyu Kagakuka,USD
Loire-Atlantique,France,Europe/Paris,EMEA ANZ,Audencia,Audencia Nantes,EUR
Skåne,Sweden,Europe/Brussels,EMEA ANZ,University of Lund,Lund Universitet Konstnarliga fakulteten,USD
Jihomoravsky Kraj,Czech Republic,Europe/Prague,EMEA ANZ,Masarykova univerzita,Masaryk University Faculty of Science,USD
Osaka,Japan,Asia/Tokyo,APAC,Osaka University,Osaka Daigaku Toshokan,USD
